cutoff_date;category_id;category;qnt_ingredients
2021-01-01;101;Fish & Seafoods;61
2021-01-01;102;Meat & Poultry;219
2021-01-01;103;Vegetables;227
2021-01-01;104;Z Herbs (Old Category);22
2021-01-01;105;Nuts & Seeds;19
2021-01-01;106;Z Spices  (Old Category);47
2021-01-01;107;Dairy & Eggs;131
2021-01-01;108;Fruits;76
2021-01-01;109;Grains, Rice, Pasta & Noodles;34
2021-01-01;110;Oils, Vinegars & Flavourings;62
2021-01-01;111;Z Additives  (Old Category);38
2021-01-01;112;Flowers;3
2021-01-01;113;Fungi;1
2021-01-01;114;Z Beverages  (Old Category);97
2021-01-01;115;Champagnes & Wines;18
2021-01-01;116;Spirits;44
2021-01-01;117;Z Soft Drinks  (Old Category);3
2021-01-01;118;Z Juices, Purees and Syrups  (Old Category);20
2021-01-01;119;Beers, lagers & Ales;5
2021-01-01;120;Z Liqueurs  (Old Category);23
2021-01-01;124;Z Hot Drinks (non alcoholic) (Old Category);8
2021-01-01;125;Z Other (dry)  (Old Category);13
2021-01-01;126;Z Other (wet)  (Old Category);7
2021-01-01;127;Baked Goods;174
2021-01-01;128;Z Desserts & Confectionery (Old Category);188
2021-01-01;129;Z Miscellaneous  (Old Category);343
2021-01-01;130;Z Store Cupboard  (Old Category);135
2021-01-01;131;Z Chilled Goods  (Old Category);4
2021-01-01;132;Z Ambient Goods  (Old Category);100
2021-01-01;133;Z Frozen Goods  (Old Category);28
2021-01-01;136;Baking Mixes & Ingredients;3
2021-01-01;138;Breakfast Cereals;3
2021-01-01;139;Canned Products;2
2021-01-01;147;Gravy & Cooking Sauces;1
2021-01-01;148;Herbs & Spices;1
2021-01-01;149;Hot Beverages;1
2021-01-01;150;Jam, Honey & Spread;2
2021-01-01;156;Plant Based Products;1
2021-02-01;101;Fish & Seafoods;109
2021-02-01;102;Meat & Poultry;164
2021-02-01;103;Vegetables;222
2021-02-01;104;Z Herbs (Old Category);58
2021-02-01;105;Nuts & Seeds;7
2021-02-01;106;Z Spices  (Old Category);37
2021-02-01;107;Dairy & Eggs;163
2021-02-01;108;Fruits;72
2021-02-01;109;Grains, Rice, Pasta & Noodles;69
2021-02-01;110;Oils, Vinegars & Flavourings;95
2021-02-01;111;Z Additives  (Old Category);5
2021-02-01;112;Flowers;1
2021-02-01;113;Fungi;3
2021-02-01;114;Z Beverages  (Old Category);31
2021-02-01;116;Spirits;2
2021-02-01;117;Z Soft Drinks  (Old Category);134
2021-02-01;118;Z Juices, Purees and Syrups  (Old Category);14
2021-02-01;120;Z Liqueurs  (Old Category);4
2021-02-01;124;Z Hot Drinks (non alcoholic) (Old Category);14
2021-02-01;125;Z Other (dry)  (Old Category);33
2021-02-01;126;Z Other (wet)  (Old Category);14
2021-02-01;127;Baked Goods;239
2021-02-01;128;Z Desserts & Confectionery (Old Category);202
2021-02-01;129;Z Miscellaneous  (Old Category);384
2021-02-01;130;Z Store Cupboard  (Old Category);307
2021-02-01;131;Z Chilled Goods  (Old Category);12
2021-02-01;132;Z Ambient Goods  (Old Category);63
2021-02-01;133;Z Frozen Goods  (Old Category);28
2021-02-01;135;Non Food;1
2021-02-01;136;Baking Mixes & Ingredients;3
2021-02-01;138;Breakfast Cereals;1
2021-02-01;139;Canned Products;3
2021-02-01;141;Cold Beverages;2
2021-02-01;142;Condiments & Pickles;14
2021-02-01;143;Confectionary And Cakes;1
2021-02-01;145;Desserts;1
2021-02-01;146;Foods Of The World;4
2021-02-01;147;Gravy & Cooking Sauces;7
2021-02-01;148;Herbs & Spices;17
2021-02-01;151;Pies, Sausage Rolls & Savouries;1
2021-02-01;152;Prepared Foods/Meals;121
2021-02-01;156;Plant Based Products;4
2021-03-01;101;Fish & Seafoods;57
2021-03-01;102;Meat & Poultry;325
2021-03-01;103;Vegetables;619
2021-03-01;104;Z Herbs (Old Category);9
2021-03-01;105;Nuts & Seeds;42
2021-03-01;106;Z Spices  (Old Category);9
2021-03-01;107;Dairy & Eggs;301
2021-03-01;108;Fruits;223
2021-03-01;109;Grains, Rice, Pasta & Noodles;179
2021-03-01;110;Oils, Vinegars & Flavourings;101
2021-03-01;111;Z Additives  (Old Category);1
2021-03-01;112;Flowers;7
2021-03-01;113;Fungi;65
2021-03-01;114;Z Beverages  (Old Category);4
2021-03-01;115;Champagnes & Wines;24
2021-03-01;116;Spirits;15
2021-03-01;117;Z Soft Drinks  (Old Category);11
2021-03-01;118;Z Juices, Purees and Syrups  (Old Category);39
2021-03-01;119;Beers, lagers & Ales;4
2021-03-01;125;Z Other (dry)  (Old Category);15
2021-03-01;126;Z Other (wet)  (Old Category);10
2021-03-01;127;Baked Goods;124
2021-03-01;128;Z Desserts & Confectionery (Old Category);8
2021-03-01;129;Z Miscellaneous  (Old Category);65
2021-03-01;130;Z Store Cupboard  (Old Category);20
2021-03-01;131;Z Chilled Goods  (Old Category);13
2021-03-01;132;Z Ambient Goods  (Old Category);82
2021-03-01;133;Z Frozen Goods  (Old Category);189
2021-03-01;135;Non Food;120
2021-03-01;136;Baking Mixes & Ingredients;129
2021-03-01;137;Biscuits, Crisps And Snacks;94
2021-03-01;138;Breakfast Cereals;57
2021-03-01;139;Canned Products;139
2021-03-01;140;Cocktails And Liquers;3
2021-03-01;141;Cold Beverages;72
2021-03-01;142;Condiments & Pickles;137
2021-03-01;143;Confectionary And Cakes;26
2021-03-01;144;Deli;36
2021-03-01;145;Desserts;66
2021-03-01;146;Foods Of The World;144
2021-03-01;147;Gravy & Cooking Sauces;93
2021-03-01;148;Herbs & Spices;380
2021-03-01;149;Hot Beverages;62
2021-03-01;150;Jam, Honey & Spread;24
2021-03-01;151;Pies, Sausage Rolls & Savouries;37
2021-03-01;152;Prepared Foods/Meals;1047
2021-03-01;153;Salad;502
2021-03-01;155;Sugar & Sweeteners;75
2021-03-01;156;Plant Based Products;152
2021-04-01;101;Fish & Seafoods;138
2021-04-01;102;Meat & Poultry;380
2021-04-01;103;Vegetables;327
2021-04-01;105;Nuts & Seeds;9
2021-04-01;107;Dairy & Eggs;344
2021-04-01;108;Fruits;186
2021-04-01;109;Grains, Rice, Pasta & Noodles;77
2021-04-01;110;Oils, Vinegars & Flavourings;44
2021-04-01;111;Z Additives  (Old Category);1
2021-04-01;113;Fungi;25
2021-04-01;115;Champagnes & Wines;2
2021-04-01;116;Spirits;4
2021-04-01;119;Beers, lagers & Ales;74
