id,created_by,updated_by,name,created,updated,deleted,data_class
101,,64.0,Fish & Seafoods,,2015-06-14 21:06:29,,
102,,,Meat & Poultry,,,,
103,,,Vegetables,,,,
104,,10861.0,Z Herbs (Old Category),,2021-06-17 15:06:15,,
105,,,Nuts & Seeds,,,,
106,,10861.0,Z Spices  (Old Category),,2021-06-17 15:06:38,,
107,,,Dairy & Eggs,,,,
108,,,Fruits,,,,
109,,64.0,"Grains, Rice, Pasta & Noodles",,2015-06-14 21:11:25,,
110,,64.0,"Oils, Vinegars & Flavourings",,2015-06-14 21:09:08,,
111,,10861.0,Z Additives  (Old Category),,2021-06-17 15:06:57,,
112,,64.0,Flowers,,2015-06-14 20:56:10,,
113,,,Fungi,,,,
114,,10861.0,Z Beverages  (Old Category),,2021-06-17 15:07:12,,
115,,64.0,Champagnes & Wines,,2015-06-14 21:06:03,,
116,,,Spirits,,,,
117,,10861.0,Z Soft Drinks  (Old Category),,2021-06-17 15:07:27,,
118,,10861.0,"Z Juices, Purees and Syrups  (Old Category)",,2021-06-17 15:07:49,,
119,,,"Beers, lagers & Ales",,,,
120,,10861.0,Z Liqueurs  (Old Category),,2021-06-17 15:08:05,,
121,,10861.0,Z Cocktails  (Old Category),,2021-06-17 15:09:35,,
122,,10861.0,Z Mocktails (non alcoholic cocktails)  (Old Category),,2021-06-17 15:10:53,,
123,,10861.0,Z Hot Drinks (alcoholic)  (Old Category),,2021-06-17 15:10:10,,
124,,10861.0,Z Hot Drinks (non alcoholic) (Old Category),,2021-06-17 15:10:39,,
125,64.0,10861.0,Z Other (dry)  (Old Category),2015-05-16 10:39:50,2021-06-17 15:11:11,,
126,64.0,10861.0,Z Other (wet)  (Old Category),2015-05-16 10:39:58,2021-06-17 15:11:22,,
127,64.0,64.0,Baked Goods,2015-05-16 10:40:09,2015-05-16 10:40:09,,
128,64.0,10861.0,Z Desserts & Confectionery (Old Category),2015-05-16 10:40:28,2021-06-17 15:09:46,,
129,64.0,10861.0,Z Miscellaneous  (Old Category),2015-06-14 21:04:18,2021-06-17 15:10:23,,
130,64.0,10861.0,Z Store Cupboard  (Old Category),2015-06-14 21:04:52,2021-06-17 15:11:36,,
131,1556.0,10861.0,Z Chilled Goods  (Old Category),2017-07-17 09:58:07,2021-06-17 15:09:15,,
132,1556.0,10861.0,Z Ambient Goods  (Old Category),2017-07-17 09:58:17,2021-06-17 15:08:58,,
133,1556.0,10861.0,Z Frozen Goods  (Old Category),2017-07-17 09:58:42,2021-06-17 15:09:56,,
134,5733.0,5733.0,hjhk,2021-02-16 13:30:33,2021-02-16 13:30:33,2021-02-16 13:31:25,
135,10861.0,10861.0,Non Food,2021-03-02 10:54:15,2021-03-02 10:54:15,,
136,10861.0,10861.0,Baking Mixes & Ingredients,2021-03-02 13:43:06,2021-03-02 13:43:06,,
137,10861.0,10861.0,"Biscuits, Crisps And Snacks",2021-03-02 13:43:18,2021-03-02 13:43:18,,
138,10861.0,10861.0,Breakfast Cereals,2021-03-02 13:43:34,2021-03-02 13:43:34,,
139,10861.0,10861.0,Canned Products,2021-03-02 13:43:43,2021-03-02 13:43:43,,
140,10861.0,10861.0,Cocktails And Liquers,2021-03-02 13:43:49,2021-03-02 13:43:49,,
141,10861.0,10861.0,Cold Beverages,2021-03-02 13:43:56,2021-03-02 13:43:56,,
142,10861.0,10861.0,Condiments & Pickles,2021-03-02 13:44:03,2021-03-02 13:44:03,,
143,10861.0,10861.0,Confectionary And Cakes,2021-03-02 13:44:11,2021-03-02 13:44:11,,
144,10861.0,10861.0,Deli,2021-03-02 13:44:17,2021-03-02 13:44:17,,
145,10861.0,10861.0,Desserts,2021-03-02 13:44:24,2021-03-02 13:44:24,,
146,10861.0,10861.0,Foods Of The World,2021-03-02 13:44:29,2021-03-02 13:44:29,,
147,10861.0,10861.0,Gravy & Cooking Sauces,2021-03-02 13:44:36,2021-03-02 13:44:36,,
148,10861.0,10861.0,Herbs & Spices,2021-03-02 13:44:42,2021-03-02 13:44:42,,
149,10861.0,10861.0,Hot Beverages,2021-03-02 13:44:53,2021-03-02 13:44:53,,
150,10861.0,10861.0,"Jam, Honey & Spread",2021-03-02 13:44:58,2021-03-02 13:44:58,,
151,10861.0,10861.0,"Pies, Sausage Rolls & Savouries",2021-03-02 13:45:05,2021-03-02 13:45:05,,
152,10861.0,10861.0,Prepared Foods/Meals,2021-03-02 13:45:29,2021-03-02 13:45:29,,
153,10861.0,10861.0,Salad,2021-03-02 13:45:40,2021-03-02 13:45:40,,
154,10861.0,10861.0,Soup,2021-03-02 13:45:55,2021-03-02 13:45:55,,
155,10861.0,10861.0,Sugar & Sweeteners,2021-03-02 13:46:02,2021-03-02 13:46:02,,
156,10861.0,10861.0,Plant Based Products,2021-03-02 13:46:10,2021-03-02 13:46:10,,
