property_type,property,number_data_points,reference_value,mean_absolute_deviation,matched_ingredient_id,data_source
score,score,4,0.87121275,0.04741566666666667,146,kafoodle_pantry
score,score,14,0.8928815714285714,0.03438336263736265,204,kafoodle_pantry
score,score,18,0.8600951111111111,0.03464964705882353,209,kafoodle_pantry
score,score,3,0.84687,0.0,543,kafoodle_pantry
score,score,4,0.8738825,0.08407833333333332,10,kafoodle_pantry
score,score,34,0.8598253529411765,0.048177030303030284,260,kafoodle_pantry
score,score,29,0.9517372413793104,0.04050683497536946,398,kafoodle_pantry
score,score,8,0.857216625,0.041815857142857134,364,kafoodle_pantry
score,score,16,0.94292675,0.0542116,1455,kafoodle_pantry
score,score,52,0.8279445,0.01387821568627452,163,kafoodle_pantry
score,score,67,0.8996365373134327,0.05482492220714612,117,kafoodle_pantry
score,score,1,0.960438,0.0,550,kafoodle_pantry
score,score,123,0.9458164715447155,0.04092108250033318,442,kafoodle_pantry
score,score,77,0.9168868831168832,0.06780280587833222,443,kafoodle_pantry
score,score,13,0.853244,0.0,323,kafoodle_pantry
score,score,103,0.9413407475728155,0.08051269940986105,650,kafoodle_pantry
score,score,295,0.9353138406779661,0.05239433324109306,1456,kafoodle_pantry
score,score,1,0.817758,0.0,55,kafoodle_pantry
score,score,338,0.8633893195266271,0.02370020585394971,54,kafoodle_pantry
score,score,50,0.8409964200000001,0.010558712653061164,1502,kafoodle_pantry
score,score,61,0.923452049180328,0.04757252240437158,510,kafoodle_pantry
score,score,12,0.8315549999999999,0.019101999999999984,470,kafoodle_pantry
score,score,24,0.937113875,0.024883000000000034,124,kafoodle_pantry
score,score,39,0.9036665384615384,0.04425645748987855,421,kafoodle_pantry
score,score,98,0.8760229489795919,0.04165877214390914,705,kafoodle_pantry
score,score,38,0.8701152894736841,0.05465449928876242,471,kafoodle_pantry
score,score,20,0.89328395,0.05103793157894736,1457,kafoodle_pantry
score,score,27,0.8441179629629629,0.022321410256410247,610,kafoodle_pantry
score,score,36,0.989480888888889,0.019836038095238026,400,kafoodle_pantry
score,score,71,0.9580125070422536,0.04918534889336014,402,kafoodle_pantry
score,score,3,0.8081999999999999,1.6653345369377348e-16,642,kafoodle_pantry
score,score,26,0.9246476153846154,0.09042286153846155,232,kafoodle_pantry
score,score,32,0.96058353125,0.028119139112903244,119,kafoodle_pantry
score,score,24,0.832803125,0.03148915217391302,127,kafoodle_pantry
score,score,259,0.9150966872586872,0.060898475472149875,120,kafoodle_pantry
score,score,40,0.86705115,0.035607615384615376,519,kafoodle_pantry
score,score,35,0.8624279428571429,0.03306867394957983,1459,kafoodle_pantry
score,score,123,0.9354344715447155,0.055110667066506726,121,kafoodle_pantry
score,score,1,1.0,0.0,1443,kafoodle_pantry
score,score,17,0.909836,0.07326900000000003,508,kafoodle_pantry
score,score,151,0.8752491258278147,0.07686138772626937,320,kafoodle_pantry
score,score,146,0.9052472808219177,0.045569909872461026,149,kafoodle_pantry
score,score,250,0.888272564,0.08099248735742971,130,kafoodle_pantry
score,score,1,0.908687,0.0,310,kafoodle_pantry
score,score,42,0.908038857142857,0.08987731707317075,48,kafoodle_pantry
score,score,22,0.9251337272727272,0.07843133333333335,233,kafoodle_pantry
score,score,2,0.893399,0.0,479,kafoodle_pantry
score,score,1,0.855095,0.0,16,kafoodle_pantry
score,score,1,0.804271,0.0,480,kafoodle_pantry
score,score,2,0.837306,0.0,365,kafoodle_pantry
score,score,3,0.8329443333333334,0.025691333333333344,485,kafoodle_pantry
score,score,63,0.8307422857142857,0.017637345622119806,103,kafoodle_pantry
score,score,14,0.8327352142857143,0.0045775714285714204,363,kafoodle_pantry
score,score,13,0.8093040000000001,1.2027416100105862e-16,104,kafoodle_pantry
score,score,47,0.8402343617021276,0.005381341350601281,29,kafoodle_pantry
score,score,1,0.806765,0.0,106,kafoodle_pantry
score,score,1,0.802889,0.0,107,kafoodle_pantry
score,score,5,0.830705,0.007345499999999977,41,kafoodle_pantry
score,score,27,0.8230013703703704,0.02600633903133903,688,kafoodle_pantry
score,score,1,0.889273,0.0,169,kafoodle_pantry
score,score,578,0.8818288737024221,0.05202123921008917,122,kafoodle_pantry
score,score,205,0.8928665804878049,0.04824982582496412,131,kafoodle_pantry
score,score,34,0.9045309411764705,0.0005098003565063039,703,kafoodle_pantry
score,score,95,0.8864087894736842,0.060820486002239625,170,kafoodle_pantry
score,score,5,0.9084161999999999,0.04908979999999996,428,kafoodle_pantry
score,score,5,0.9007776,0.04377389999999998,147,kafoodle_pantry
score,score,204,0.8673569019607843,0.029658955858205355,268,kafoodle_pantry
score,score,17,0.8728176470588235,0.06733476470588234,409,kafoodle_pantry
score,score,5,0.8822113999999999,0.047728900000000074,366,kafoodle_pantry
score,score,58,0.9006258275862069,0.043890479128856616,159,kafoodle_pantry
score,score,15,0.9606922666666667,0.025503647619047554,272,kafoodle_pantry
score,score,56,0.9402877499999999,0.02862057272727276,1518,kafoodle_pantry
score,score,33,0.9867639393939394,0.02481761363636367,211,kafoodle_pantry
score,score,280,0.8559603428571428,0.031452453046595004,75,kafoodle_pantry
score,score,225,0.83699452,0.017910586071428557,637,kafoodle_pantry
score,score,1,0.800415,0.0,643,kafoodle_pantry
score,score,110,0.8692255,0.06047818348623852,76,kafoodle_pantry
score,score,178,0.8939187640449437,0.057163400368183834,77,kafoodle_pantry
score,score,19,0.9560582105263159,0.06835389473684206,509,kafoodle_pantry
score,score,40,0.9246439750000001,0.06955940769230769,652,kafoodle_pantry
score,score,41,0.8268675365853659,0.00484374146341463,689,kafoodle_pantry
score,score,35,0.9640976571428571,0.031830643697479004,690,kafoodle_pantry
score,score,14,0.9210011428571429,0.07866782417582417,413,kafoodle_pantry
score,score,2,0.9082995,0.15220899999999993,534,kafoodle_pantry
score,score,2,0.804547,0.0,535,kafoodle_pantry
score,score,29,0.9081833793103449,0.03469706403940885,445,kafoodle_pantry
score,score,638,0.9339759216300941,0.05217437127404615,14,kafoodle_pantry
score,score,2,1.0,0.0,1444,kafoodle_pantry
score,score,18,0.8704346111111111,0.0455696405228758,319,kafoodle_pantry
score,score,123,0.9095848780487805,0.017876377449020396,653,kafoodle_pantry
score,score,41,0.8802856341463414,0.05708108780487804,693,kafoodle_pantry
score,score,3,0.9059783333333332,0.0967683333333334,275,kafoodle_pantry
score,score,14,0.8327330000000001,0.019319076923076935,1,kafoodle_pantry
score,score,17,0.9555914117647059,0.06661288235294119,403,kafoodle_pantry
score,score,49,0.9081382653061225,0.06670769302721087,123,kafoodle_pantry
